name,address01,address02,address03,city,zip,phone,24_hour_phone,website,services,services_two,services_three,services_four,services_five,latitude,longitude
Abbe Center for Community Mental Health,129 S. Vine St.,,,West Union,52175,563-422-5344,,http://www.abbemhc.org/,"Offers psychiatric services, individual counseling, and community support services.","Serves residents of Benton, Buchan, Delaware, Fayette, Jones, and Linn Counties.","Has satellite offices in Vinton, Belle Plaine, Independence, Manchester, West Union, Amosa, and Cedar Rapids.",,,42.9608813,-91.8081381
Adult Crisis Stabilization Center,1440 W. Dunkerton Rd.,,,Waterloo,50703,319-291-2455,,,Crisis services,,,,,42.5706578,-92.3659882
Allamakee County Case Management,110 Allamakee St.,,,Waukon,52172,563-568-6227,,http://bit.ly/1jpIQqt,Disability services coordination,,,,,43.2702815,-91.4755825
Allen Memorial Hospital,1825 Logan Ave.,,,Waterloo,50703,319-235-3629,,http://www.unitypoint.org/waterloo/Default.aspx,This psychiatric hospital is an access point for inpatient mental health services. It provides intensive last-resort services for persons suffering from severe mental health problems who pose a danger to themselves or others. Contact this hospital in cases of medical mental health emergencies.,,,,,42.526653,-92.339567
Alternative Living Corporation,206 N Frederick Avenue,,,Oelwein,50662,319-283-5405,,,Offers residential services,Offers supported community living services,,,,42.681425,-91.913287
Alternative Treatment Associates,307 Wilson St.,,P.O. Box 308,Postville,52162,563-864-7122,,,Mental health services,,,,,43.0831894,-91.5614352
"Always Best Care of the Cedar Valley, Inc.",3336 Kimball Ave.,Suite #152,P.O. Box 1952,Waterloo,50704,319-415-7135,,http://bit.ly/1jptbHO,Home health care,,,,,42.463766,-92.357577
"Anderson, Teresa",1728 Central Ave.,Suite #14,,Ft. Dodge,50501,515-955-1836,,,Mental health services,,,,,42.506311,-94.174343
Avera Holy Family Health Services,826 N. 8th St.,,,Estherville,51334,712-362-2631,,http://www.avera.org/estherville/,Mental health services,,,,,43.4093013,-94.8342294
Behavioral Health,110 North Moore St.,,,Algona,50511,515-295-4315,,http://behealthalgona.com/,Mental health services,,,,,43.0689736,-94.2354681
Behavioral Health Options-Ken Zimmerman,4 Hawthorn Rd.,,P.O. Box 379,Mason City,50402,641-512-5565,,,Mental health services,,,,,43.152805,-93.16316
Berry Hill Center for Mental Health,720 Kenyon Rd.,,,Fort Dodge,50501,515-955-7171,800-482-8305,http://bit.ly/1ik1qg0,"Offers services to address a wide range of emotional and mental health problems, from short-term personal and family problems to disabling illnesses.",Offers consultations and community educational outreach.,"A division of Trinity Regional Hospital in Fort Dodge, Berry Hill serves residents in Calhoun, Franklin, Hamilton, Humboldt, Kossuth, Pocahontas, Webster, and Wright Counties.",,,42.4918679,-94.1903448
Black Hawk Grundy Mental Health Center,3251 W. 9th St.,,,Waterloo,50702,319-234-2893,800-234-0354,http://www.bhgmhc.com,"Offers outpatient therapy services for children, adults, and the elderly.",Provides 24 hour emergency services for those experiencing a mental health crisis,Facilitates peer support services.,Serves Black Hawk and Grundy counties,,42.4648452,-92.3444346
Boyle Counseling & Consulting LLC,722 Water St.,Suite #407,,Waterloo,50703,319-610-4179,,http://www.cindyrboyle.com/,Mental health services,,,,,42.496276,-92.335481
"Brink, Doug LMFT, LISW","202 1st St., SE",Suite #107,,Mason City,50401,641-423-3778,,"http://therapists.psychologytoday.com/rms/name/Douglas_Brink_LMFT,LISW_Mason+City_Iowa_34554",Mental health services,,,,,43.151155,-93.197423
Butler County Public Health,428 6th St.,,,Allison,50602,319-267-2934,,http://bit.ly/1uK3MwX,Home health care,,,,,42.7555679,-92.7954866
Cedar Falls Counseling Associates,324 W. 3rd. St.,,,Cedar Falls,50613,319-277-4383,,http://cedarfallscounselingassociates.com/,Mental health services,,,,,42.5357902,-92.449228
Cedar Valley Community Support Services,3121 Brockway Rd.,,,Waterloo,50701,319-233-1288,,http://www.cvcss.com/content/contact-us,Supported community living,,,,,42.4672323,-92.3587497
Cerro Gordo County Case Management,"3 4th St., NE",,,Mason City,50401,641-421-3122,,http://bit.ly/1mK2VH1,Disability services coordination,,,,,43.1553883,-93.2010874
Cerro Gordo Public Health,22 N. Georgia Ave.,Suite #300,,Mason City,50401,641-421-9300,,http://cghealth.com/,Home health care,,,,,43.1519993,-93.1962551
Chickasaw County Public Health & Home Care Services,260 E. Prospect,,P.O. Box 355,New Hampton,50659,641-394-4053,,http://www.chickasawhealth.org/,Home health care,,,,,43.0602788,-92.3120208
Chickasaw/Mitchell County Case Management,24 N. Chestnut,,P.O. Box 229,New Hampton,50659,641-394-3426,,http://bit.ly/1hCCFdV,Disability services coordination,,,,,43.0595179,-92.3153568
Children & Families of Iowa,111 Ave. O West,,,Fort Dodge,50501,515-573-2193,,http://www.cfiowa.org/,Mental health services,,,,,42.4867838,-94.2079319
"Choice Employment Services, LLC",709 Decorah Ave.,,,Decorah,52101,563-419-8278,,http://www.choiceemploymentservices.com/,Work services,,,,,43.3057962,-91.7775986
"Cleveland, Kaye",1728 Central Ave.,Suite #14,,Ft. Dodge,50501,515-955-1836,,,Mental health services,,,,,42.50649,-94.173987
Community & Family Resources,726 S. 17th St.,,,Ft. Dodge,50501,515-576-7261,,http://www.cfrhelps.org/,Mental health services,Substance abuse services,,,,42.4983977,-94.1748268
"Comprehensive Systems, Inc.",1700 Clark St.,"
","
",Charles City,50616,641-228-4842,,http://www.comprehensivesystems.org/,Supported community living,Nursing facility for intellectual disability,,,,43.0605,-92.6667159
"Comprehensive Systems, Residential Site",841 W Main St,,,New Hampton,50656,641-394-2670,,http://www.comprehensivesystems.org,,,,,,43.059553,-92.32729
"Comprehensive Systems, Vocational Site",111 W Milwaukee St,,PO Box 165,New Hampton,50659,,,http://www.comprehensivesystems.org,,,,,,43.066576,-92.317935
Connect America,228 3rd. St.,,P.O. Box 220,Parkersburg,50665,319-231-4208,,,Personal emergency response,Automated med minder systems,,,,42.5784031,-92.787243
Conrad Consultation & Psychological Services,951 N Linn Ave.,Suite #2,,New Hampton,50659,641-394-2505,,,,,,,,43.069874,-92.317798
Cornerstone Counseling & Mediation Services,516 N. Jefferson Ave.,,,Mason City,50401,641-424-8344,,,Mental health services,,,,,43.156864,-93.206386
Cornerstone Family Practice,200 Main St.,,P.O. Box 550,Guttenberg,52052-0550,563-252-2141,,http://www.guttenbergfma.com/,Mental health services,,,,,42.7855126,-91.0999299
"Cote, Peter LISW",4041 Crossway Drive,Apt. #301,,Waterloo,50701,319-230-5012,,,Mental health services,,,,,42.5037499,-92.405659
"Counseling & Family Centered Services, Incorporated (CFCS Inc.)",951 N Linn Ave.,Suite #3,,New Hampton,50659,641 394-2505,,,,,,,,43.068986,-92.317246
Country View Care Facility,1410 W. Dunkerton Rd.,,,Waterloo,50703,319-291-2509,,http://countryviewcc.com/,Nursing facility,,,,,42.571656,-92.36543
Country Winds Manor/Howard Residential Care Facility,21668 80th St.,,,Cresco,52136,563-547-2398,,http://bit.ly/1ggIAFn,Residential care facility,,,,,43.400082,-92.1583089
Covenant Clinic Psychiatry,2802 Orchard Dr.,,,Cedar Falls,50702,319-268-9700,,http://bit.ly/1iyD54w,Mental health services,,,,,42.504693,-92.412439
Covenant Medical Center,3421 W. 9th St.,,,Waterloo,50702,319-272-8000,,http://bit.ly/1ggEAEP,This psychiatric hospital is an access point for inpatient mental health services. It provides intensive last-resort services for persons suffering from severe mental health problems who pose a danger to themselves or others. Contact this hospital in cases of medical mental health emergencies.,,,,,42.4641049,-92.3454319
Creative Services-We Work,1660 Panoramic Rd.,,,Decorah,52101,563-380-2082,,http://www.creativeservicesia.com/,Work services,,,,,43.312176,-91.724985
DHS Targeted Case Management-Black Hawk County,1407 Independence Ave.,,4th Floor,Waterloo,50703,319-232-0477,,,Disability services coordination,,,,,42.499253,-92.306326
DHS Targeted Case Management-Cerro Gordo County,22 N. Georgia Ave.,Suite 204,,Mason City,50401,641-422-1217,,,Disability services coordination,,,,,43.152441,-93.196895
DHS Targeted Case Management-Clayton County,600 Gunder Rd. NE,Suite 6,,Elkader,52043,800-397-0477,,,Disability services coordination,,,,,42.8691967,-91.3991285
DHS Targeted Case Management-Winneshiek County,204 W. Broadway St.,,,Decorah,52101,563-557-2488,,,Disability services coordination,,,,,43.3023961,-91.787225
Duncan Heights,1465 Highway 18,,,Garner,50438-9619,641-923-3337,,,Residential care facility,,,,,43.1047374,-93.7017226
"Echo Plus, Inc.",1808 Jackson Ave.,,,Spirit Lake,51360,,,http://www.echoplusinc.com/contactus.html,Work services,Supported community living,,,,43.4225286,-95.1049565
Emmet County Case Management,609 1st Ave N,,,Estherville,51334,712-362-2452,,http://bit.ly/1fUyXkG,Disability services coordination,,,,,43.4029497,-94.8365656
"Exceptional Opportunities, Inc.",310 Wisconsin St.,,,Burt,50522,515-924-4101,,http://www.exoppinc.org/,Work services,Supported community living,,,,43.2015775,-94.2204536
"Exceptional Persons, Inc.",3845 Paige Dr.,,P.O. Box 4090,Waterloo,50704,319-232-6671,,http://www.episervice.org/,Work services,Supported community living,,,,42.459634,-92.3394409
Families First Counseling Services,501 Sycamore St.,Suite #738,,Waterloo,50703,319-433-0395,,https://www.families-first.net/,Mental health services,,,,,42.498782,-92.336246
"Family Management Credit Counselors, Inc.",1409 W. 4th St.,,,Waterloo,50702,319-234-6695,,,Social security representative payee,,,,,42.485593,-92.353611
Family Treatment Professionals,26 N Chestnut,,,New Hampton,50659,641-394-3899,,http://www.newhamptonfamilytreatment.com/,,,,,,43.059537,-92.315356
Fayette County Case Management,114 North Vine,,P.O. Box 269,West Union,52175,563-422-5047,,http://bit.ly/1saF6cP,Disability services coordination,,,,,42.9614766,-91.8081541
Floyd County Case Management,1003 Gilbert St.,,,Charles City,50616,641-257-6363,,http://www.floydcoia.org/departments/casemanagementCPC/contact.asp,Disability services coordination,,,,,43.065952,-92.683493
Floyd County Public Health,101 S. Main St.,,,Charles City,50616,641-257-6111,,http://www.floydcoia.org/departments/homehealth/,Home health care,,,,,43.0643986,-92.6815096
"Francis Lauer, Inc.",50 N. Eisenhower,,,Mason City,50401,641-423-7362,,http://www.francislauer.com/,Childrens' mental health services,,,,,43.1515771,-93.2606409
"Friendship Haven, Inc.",420 Kenyon Rd.,,,Ft. Dodge,50501,515-573-2121,,http://www.friendshiphaven.org/,Adult day care services,,,,,42.4873111,-94.1978097
Full Circle Services Inc.,621 Highway 150 S,,,West Union,52175,563-422-3555,,,,,,,,42.969072,-91.814992
Full Circle Services Inc.,201 1st St. NE,,,Oelwein,50662,319-283-1177,,,,,,,,42.679847,-91.910476
