name,address01,address02,address03,city,zip,phone,services,services_two,services_three,latitude,longitude
Mercy Medical Center-North Iowa,"1000 4th St., SW",,,Mason City,50401,641-422-7482,Inpatient mental health,,,43.150633,-93.217178
Floyd County Case Management,1003 Gilbert St.,,,Charles City,50616,641-257-6363,Disability services coordination,,,43.065952,-92.683493
Floyd County Public Health,101 S. Main St.,,,Charles City,50616,641-257-6111,Home health care,,,43.0643986,-92.6815096
"Huff Counseling Services, LLC",1016 W. 5th St.,,,Waterloo,50702,319-233-3348,Mental health services,,,42.488237,-92.347566
Mosaic,102 W. Park St.,,,Forest City,50436,563-252-2473,Work services,Supported community living,,43.2555892,-93.6402589
"Rebedeau, Susan LISW",103 E. State St.,Suite #701,,Mason City,50401,641-423-3864,Mental health services,,,43.1517837,-93.1994185
"Rise Limited, Inc.",106 Rainbow Drive,,,Elkader,52043,563-245-1868,Work services,Supported community living,,42.8632761,-91.4025145
Kossuth County Case Management,109 W. State St.,,,Algona,50511,515-295-9595,Disability services coordination,,,43.0688523,-94.2380374
Allamakee County Case Management,110 Allamakee St.,,,Waukon,52172,563-568-6227,Disability services coordination,,,43.2702815,-91.4755825
Behavioral Health,110 North Moore St.,,,Algona,50511,515-295-4315,Mental health services,,,43.0689736,-94.2354681
"Pathways Behavioral Services, Inc. D/B/A Cedar Valley Mental Health Center","111 10th St., SW",,P.O. Box 114,Waverly,50677,319-352-2064,Mental health,Substance abuse services,,42.7250515,-92.4829851
Children & Families of Iowa,111 Ave. O West,,,Fort Dodge,50501,515-573-2193,Mental health services,,,42.4867838,-94.2079319
Spring Harbor/Liberty Square,111 South Boulder,,,Nora Springs,50458,641-749-5372,Residential care facility,Supported community living,,43.1441547,-93.0068234
Lighthouse Professional Counseling Services LLC,1111 Paine St.,,,Decorah,52101,563-382-1900,Mental health services,,,43.2920299,-91.794652
"Quality Choices, Inc.",112 W. Charles St.,,,Oelwein,50662,319-283-1474,Supported community living,,,42.6784149,-91.9155965
Fayette County Case Management,114 North Vine,,P.O. Box 269,West Union,52175,563-422-5047,Disability services coordination,,,42.9614766,-91.8081541
"North Central Iowa Case Management (Humboldt, Pocahontas, & Wright)","115 1st St., SE",,P.O. Box 4,Clarion,50525,515-532-3309,Disability services coordination,,,42.7315263,-93.7315943
Wright County Health Department & Hospice,"115 1st St., SE",,,Clarion,50525,515-532-3461,Home health care,,,42.731675,-93.731312
Wright County Transit,115 N. Main St.,,P.O. Box 214,Clarion,50525,515-602-6104,Transportation,,,42.7317911,-93.7328246
Spencer Hospital,"1200 1st Ave., E",,,Spencer,51301,712-264-6437,Inpatient mental health,,,43.1498911,-95.142919
Opportunity Village,"1200 N. 9th St., W",,P.O. Box 622,Clear Lake,50428,641-357-5277,Work services,Supported community living,,43.146434,-93.400484
"Genesis Mental Health Associates, LLC",1218 Central Ave.,,,Fort Dodge,50501,515-576-6441,Mental health services,,,42.5061124,-94.1821419
North Iowa Vocational Center,1225 S. Harrison,,P.O. Box 428,Mason City,50402,641-423-3301,Work services,,,43.14013,-93.212392
WHW County Case Management,126 South Clark St.,,,Forest City,50436,641-585-2340,Disability services coordination,,,43.2632179,-93.6383661
Abbe Center for Community Mental Health,129 S. Vine St.,,,West Union,52175,563-422-5344,Mental health services,,,42.9608813,-91.8081381
"Life Works Community Services, Inc.",1303 A St.,,,Ft. Dodge,50501,515-576-2126,Work services,Supported community living,,42.4885665,-94.2074223
Center Associates-Mental Health Clinic of Tama County,1309 S. Broadway,,P.O. Box 7,Toledo,52342,641-484-5234,Mental health services,,,41.9808051,-92.5783954
Iowa Specialty Hospital-Clarion,1316 South Main St.,,,Clarion,50525,515-532-2811,Mental health services,,,42.7206805,-93.7327987
Howard County Case Management,137 N. Elm St.,,,Cresco,52136,,Disability services coordination,,,43.3728447,-92.1165032
